latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
7.73804,81.04405,343.26,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,297.7,6.58,D
7.68932,80.4494,345.53,0.52,0.5,2026-09-12,0744,N,nominal,2.0NRT,292.2,2.72,D
7.79308,80.61845,339.16,0.5,0.49,2026-09-12,0744,N,nominal,2.0NRT,299.78,5.47,D
7.79231,80.61386,338.92,0.5,0.49,2026-09-12,0744,N,nominal,2.0NRT,298.69,5.47,D
7.79759,80.61766,333.5,0.5,0.49,2026-09-12,0744,N,nominal,2.0NRT,298.7,6.14,D
7.79322,80.61471,347.79,0.5,0.49,2026-09-12,0744,N,nominal,2.0NRT,300.21,7.34,D
7.79774,80.61394,331.61,0.5,0.49,2026-09-12,0744,N,nominal,2.0NRT,297.81,7.34,D
7.90877,81.22432,330.8,0.46,0.47,2026-09-12,0744,N,nominal,2.0NRT,300.7,2.53,D
7.9456,81.38625,330.08,0.45,0.47,2026-09-12,0744,N,nominal,2.0NRT,297.32,2.96,D
7.91244,81.16814,330.9,0.46,0.47,2026-09-12,0744,N,low,2.0NRT,301.77,1.32,D
7.96555,81.08558,338.91,0.47,0.47,2026-09-12,0744,N,nominal,2.0NRT,300.62,3.24,D
7.99679,81.08457,330.66,0.47,0.47,2026-09-12,0744,N,nominal,2.0NRT,300.57,2.48,D
7.80422,79.93233,341.29,0.56,0.51,2026-09-12,0744,N,nominal,2.0NRT,296.67,3.76,D
8.00142,81.08142,331.27,0.47,0.47,2026-09-12,0744,N,nominal,2.0NRT,300.49,4.58,D
7.80587,79.93601,338.96,0.56,0.51,2026-09-12,0744,N,nominal,2.0NRT,298.1,8.36,D
8.07677,81.39046,331.16,0.44,0.46,2026-09-12,0744,N,nominal,2.0NRT,297.87,6.36,D
8.00496,80.94511,348.39,0.48,0.48,2026-09-12,0744,N,nominal,2.0NRT,300.58,13.6,D
7.95697,80.61252,331.09,0.5,0.49,2026-09-12,0744,N,nominal,2.0NRT,295.46,5.26,D
8.06122,81.0103,344.04,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,301.54,30.33,D
8.09088,81.05321,344.54,0.47,0.47,2026-09-12,0744,N,nominal,2.0NRT,298.05,8.66,D
8.10521,81.08544,343.23,0.46,0.47,2026-09-12,0744,N,nominal,2.0NRT,301.23,6.64,D
8.07846,81.00792,336.92,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,295.54,4.48,D
8.09095,81.0537,346.48,0.47,0.47,2026-09-12,0744,N,nominal,2.0NRT,298.2,6.94,D
8.11133,81.11934,336.64,0.46,0.47,2026-09-12,0744,N,nominal,2.0NRT,300.03,5.87,D
8.10552,81.08588,342.84,0.46,0.47,2026-09-12,0744,N,nominal,2.0NRT,301.47,5.61,D
8.03993,80.68317,333.07,0.49,0.49,2026-09-12,0744,N,nominal,2.0NRT,298.58,4.07,D
7.96559,80.03988,330.94,0.55,0.51,2026-09-12,0744,N,nominal,2.0NRT,299.34,5.22,D
8.06541,80.3713,337.07,0.52,0.5,2026-09-12,0744,N,nominal,2.0NRT,298.56,5.89,D
8.18704,81.01131,332.29,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,299.34,9.95,D
8.20405,81.0864,339.91,0.46,0.47,2026-09-12,0744,N,nominal,2.0NRT,300.66,7.03,D
8.18764,81.01199,331.11,0.47,0.48,2026-09-12,0744,N,nominal,2.0NRT,299.18,10.28,D
8.20521,81.08688,344.52,0.46,0.47,2026-09-12,0744,N,nominal,2.0NRT,301.35,6.76,D
8.22403,81.09228,331.15,0.46,0.47,2026-09-12,0744,N,nominal,2.0NRT,299.42,8.13,D
